#{"t_start": 1629205224.2267869, "env_id": null}
r,l,t
-0.777778,3,10.788808
-0.777778,3,10.797966
-9.888889,2,10.80399
-9.888889,2,10.809963
-9.888889,2,10.811994
-9.666667,4,10.811994
-9.777778,3,10.827659
-0.777778,3,10.827659
-0.777778,3,10.843284
-9.777778,3,10.858913
-0.777778,3,10.858913
-9.777778,3,10.874528
-0.777778,3,10.874528
-9.666667,4,10.890159
-9.777778,3,10.906817
-9.777778,3,10.917529
-0.666667,4,10.927527
-0.777778,3,10.939458
-9.777778,3,10.949067
-9.777778,3,10.958534
-9.888889,2,10.965773
-0.666667,4,10.979678
-9.777778,3,10.989644
-9.888889,2,10.996619
-9.888889,2,11.003596
-9.777778,3,11.012595
-9.888889,2,11.019583
-9.777778,3,11.029903
-9.666667,4,11.041573
-9.888889,2,11.048502
-9.888889,2,11.054535
-0.777778,3,11.066447
-9.777778,3,11.07548
-9.888889,2,11.083424
-9.666667,4,11.094578
-9.777778,3,11.104496
-9.666667,4,11.116426
-9.777778,3,11.12639
-0.777778,3,11.135418
-0.777778,3,11.14738
-9.555556,5,11.158471
-9.666667,4,11.169173
-9.666667,4,11.354742
-0.777778,3,11.366701
-9.777778,3,11.37966
-0.777778,3,11.389669
-0.777778,3,11.401703
-9.777778,3,11.412552
-9.888889,2,11.419526
-9.777778,3,11.42884
-0.777778,3,11.438123
-9.888889,2,11.445101
-0.777778,3,11.455069
-9.888889,2,11.462045
-9.666667,4,11.474014
-9.888889,2,11.48002
-0.777778,3,11.490994
-0.777778,3,11.500916
-0.777778,3,11.511158
-9.777778,3,11.521135
-0.777778,3,11.532129
-9.777778,3,11.541103
-0.777778,3,11.551577
-9.888889,2,11.557569
-9.777778,3,11.56791
-0.777778,3,11.578344
-9.888889,2,11.584121
-0.777778,3,11.595086
-0.777778,3,11.604765
-0.666667,4,11.616124
-9.888889,2,11.622743
-9.777778,3,11.632337
-0.777778,3,11.642861
-0.777778,3,11.654219
-9.888889,2,11.660783
-0.777778,3,11.670715
-9.777778,3,11.680723
-9.777778,3,11.689711
-9.777778,3,11.697674
-0.777778,3,11.706795
-9.777778,3,11.711266
-9.666667,4,11.711266
-9.777778,3,11.726935
-9.777778,3,11.726935
-9.777778,3,11.742555
-9.555556,5,11.762185
-9.777778,3,11.808434
-9.666667,4,11.822016
-9.777778,3,11.832963
-9.666667,4,11.844952
-0.777778,3,11.844952
-0.777778,3,11.860576
-0.777778,3,11.860576
-0.777778,3,11.876246
-9.777778,3,11.876246
-9.777778,3,11.89187
-9.666667,4,11.89187
-9.555556,5,11.907447
-0.777778,3,11.923115
-9.888889,2,11.923115
-0.777778,3,11.93874
-0.777778,3,11.93874
-9.888889,2,11.954315
-9.888889,2,11.954315
-9.888889,2,11.954315
-9.777778,3,11.969938
-0.777778,3,11.988245
-9.555556,5,11.998172
-9.888889,2,12.005182
0.444444,5,12.016186
-9.777778,3,12.023136
-9.777778,3,12.033098
-0.777778,3,12.043018
-9.777778,3,12.05544
-9.777778,3,12.066408
-9.888889,2,12.072452
-9.666667,4,12.084709
-0.777778,3,12.096687
-9.777778,3,12.105703
-0.666667,4,12.11783
-9.777778,3,12.125799
-9.777778,3,12.136775
-0.777778,3,12.146687
-0.777778,3,12.156652
-0.777778,3,12.167629
-0.777778,3,12.177582
-0.777778,3,12.188596
-9.888889,2,12.233018
-0.777778,3,12.243719
-0.777778,3,12.255723
-9.888889,2,12.261662
-0.777778,3,12.272622
-9.888889,2,12.279689
-9.777778,3,12.289762
-9.777778,3,12.297779
-0.777778,3,12.307629
-9.888889,2,12.313681
-9.777778,3,12.321642
-0.777778,3,12.327185
-9.777778,3,12.327185
-9.888889,2,12.342864
-9.777778,3,12.342864
-9.777778,3,12.358481
-9.666667,4,12.358481
-0.777778,3,12.374056
-0.777778,3,12.374056
-9.777778,3,12.38972
-9.777778,3,12.38972
-9.777778,3,12.405358
-9.888889,2,12.405358
-9.777778,3,12.420976
-9.777778,3,12.420976
-9.888889,2,12.436598
-9.777778,3,12.436598
-9.777778,3,12.436598
-0.777778,3,12.452173
-9.777778,3,12.46785
-9.777778,3,12.46785
-9.888889,2,12.46785
-9.888889,2,12.483468
-9.666667,4,12.483468
-0.666667,4,12.4991
-9.888889,2,12.4991
-9.777778,3,12.514722
-0.777778,3,12.514722
-9.888889,2,12.530335
-9.555556,5,12.530335
-9.777778,3,12.545959
-0.777778,3,12.545959
-9.555556,5,12.561581
-0.777778,3,12.561581
-0.777778,3,12.611689
-9.777778,3,12.619651
-9.666667,4,12.62962
-0.777778,3,12.638588
-9.888889,2,12.643631
-0.777778,3,12.643631
-9.888889,2,12.643631
-9.777778,3,12.659303
-0.777778,3,12.659303
-0.777778,3,12.674923
-9.777778,3,12.690502
-9.777778,3,12.690502
-0.777778,3,12.706167
-0.777778,3,12.706167
-9.777778,3,12.721794
-9.666667,4,12.721794
-9.777778,3,12.737412
-0.777778,3,12.737412
-0.777778,3,12.753047
-9.888889,2,12.753047
-9.777778,3,12.768668
-0.777778,3,12.768668
-0.777778,3,12.784286
-9.777778,3,12.784286
-9.555556,5,12.799916
-9.888889,2,12.799916
-9.666667,4,12.815539
-9.777778,3,12.815539
-0.777778,3,12.831168
-0.666667,4,12.831168
-9.777778,3,12.846782
-9.666667,4,12.862398
-0.777778,3,12.862398
-9.888889,2,12.862398
-9.777778,3,12.878033
-9.777778,3,12.878033
-9.777778,3,12.893645
-9.888889,2,12.893645
-9.777778,3,12.909286
-9.888889,2,12.909286
-9.777778,3,12.924894
-9.888889,2,12.924894
-9.666667,4,12.9561
-9.777778,3,12.973964
-9.777778,3,12.983634
-0.777778,3,12.994555
-9.666667,4,13.003533
-0.777778,3,13.011522
-9.666667,4,13.011522
-9.777778,3,13.027195
-0.666667,4,13.027195
-9.888889,2,13.042826
-0.777778,3,13.042826
-9.777778,3,13.061042
-0.777778,3,13.07002
-9.888889,2,13.075982
-9.777778,3,13.083942
-0.777778,3,13.092929
-9.777778,3,13.10093
-9.777778,3,13.108101
-9.777778,3,13.116076
-0.777778,3,13.124061
-9.777778,3,13.126292
-9.666667,4,13.126292
-0.666667,4,13.141919
-9.888889,2,13.141919
-9.888889,2,13.157582
-9.888889,2,13.157582
-0.777778,3,13.173208
-9.888889,2,13.178882
-9.777778,3,13.178882
-9.777778,3,13.194537
-0.777778,3,13.194537
-9.666667,4,13.210302
-9.777778,3,13.210302
0.444444,5,13.225912
-9.777778,3,13.241542
-9.888889,2,13.241542
-9.777778,3,13.241542
-9.777778,3,13.257169
-9.888889,2,13.257169
-9.888889,2,13.272783
-0.777778,3,13.272783
-0.777778,3,13.288504
-0.777778,3,13.288504
-0.777778,3,13.319822
-9.666667,4,13.345426
-0.777778,3,13.354466
-9.777778,3,13.364489
-9.777778,3,13.371923
-0.777778,3,13.376207
-0.777778,3,13.376207
-0.777778,3,13.393016
-9.777778,3,13.393016
-9.777778,3,13.408682
-9.888889,2,13.408682
-9.666667,4,13.424318
-9.777778,3,13.424318
-9.777778,3,13.439931
-0.777778,3,13.439931
-9.666667,4,13.455512
-9.777778,3,13.471187
-9.888889,2,13.471187
-9.666667,4,13.471187
-9.555556,5,13.486799
-9.777778,3,13.502469
